id,name,label,superclass,classification,subclass,family,distribution,designer,rg,xHeight,capHeight,xHeightRatio,capHeightRatio,xHeightRatioRounded,capHeightRatioRounded,adjust,xHeightPct,capHeightPct,0.70,18,24,link,Year,stylesheet,100 Greatest Fonts,Typewolf Google,Typewolf Adobe,Google Analytics,Google Analytics Score,100 Greatest Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,FontsInUse,Wikipedia,Deweight,Score,Quality,Utility,Underrated Boost,In Use Boost,Weight Boost,Rating,inuse
41,Fira Sans,Fira Sans,Sans,Humanist,Meta,Fira,Google,Carrois Apostrophe,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,25.3,33.07,1.31,1.45,1.3,1.45,0.987164179104478,0.76,0.68,1.03,19,25,https://fonts.google.com/specimen/Fira+Sans,2013,,,9,,"40,702,012,574",58,,92,,15,5,15,,141.5,6,8,,15,9,189.5,Bund DE;CARE;Imperial College
42,Franklin Gothic URW,Franklin Gothic,Sans,Grotesque,Franklin,,Adobe,URW Type Foundry;Morris Fuller Benton,urw-300;300i;400;400i;500;500i;700;700i;900;900i,23.67,31.99,1.35,1.5,1.35,1.5,0.954925373134328,0.74,0.66,1.06,19,25,https://fonts.adobe.com/fonts/franklin-gothic-urw,1903,qxw5oqh,12,,11,,,89,,91,,15,15,15,195,10,6,,15,5,255,Huckberry;Rotten Tomatoes;ArtForum
43,Fraunces,Fraunces,Serif,Contemporary,Windsor,,Google,Undercase Type;Phaedra Charles;Flavia Zimbardi,100..900;100..900i,21.54,31.76,1.47,1.51,1.45,1.5,0.948059701492537,0.68,0.66,1.06,19,25,https://fonts.google.com/specimen/Fraunces,2020,,,16,,"1,448,184,905",11,,85,,,5,,,92.75,8,6,,,,140.75,titles	labels	accents	short	long
44,Freight Neo Pro,Freight Neo,Sans,Humanist,Optima,Freight,Adobe,Joshua Darden;The Freight Collection,Pro-300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,21.98,30,1.36,1.6,1.35,1.6,0.895522388059701,0.74,0.62,1.13,20,27,https://fonts.adobe.com/fonts/freight-neo,2005,fmc7gnx,,,41,,,,,61,15,5,,,81,9,6,,,6,135,
45,Freight Sans Pro,Freight Sans,Sans,Humanist,Johnston,Freight,Adobe,Joshua Darden,Pro-300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,21.98,30,1.36,1.6,1.35,1.6,0.895522388059701,0.74,0.62,1.13,20,27,https://fonts.adobe.com/fonts/freight-sans,2005,noz2waz,,,41,,,,,61,15,5,,,81,9,10,,15,6,171,Lapham’s Quarterly;Kennedy Center;Cornell University Press
46,Freight Text Pro,Freight,Serif,Transitional,Times,Freight,Adobe,Joshua Darden,Text Pro-300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,21.41,30,1.4,1.6,1.4,1.6,0.895522388059701,0.72,0.62,1.13,20,27,https://fonts.adobe.com/fonts/freight-text,2005,kjk1wqx,,,39,,,,,63,15,5,,,83,9,10,,15,6,173,Huckberry;Ferm Living;Conde Nast Traveller
47,Futura PT,Futura,Sans,Geometric,Futura,Futura PT,Adobe,Paul Renner;Isabella Chaeva;Vladimir Andrich;Vladimir Yefimov,300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;,19.92,32.02,1.61,1.5,1.6,1.5,0.955820895522388,0.62,0.66,1.06,19,25,https://fonts.adobe.com/fonts/futura-pt,1927,ssn0ejn,5,,1,,,96,,101,15,15,15,,242,10,8,,15,6,322,Asos;Mon Concept Habitation;Ableton
48,Gelasio,Gelasio,Serif,Transitional,Times,,Google,Eben Sorkin,400;400i;500;500i;600;600i;700;700i,23.3,33.26,1.43,1.44,1.45,1.45,0.992835820895522,0.70,0.70,1.00,18,24,https://fonts.google.com/specimen/Gelasio/,2022,,,,,"1,816,792,018",15,,,,,5,,,8.75,8,9,10,5,4,90.75,Merge Records
49,GeorgiaPro,Georgia Pro,Serif,Transitional,Times,,Adobe,Matthew Carter;Tom Rickner;Steve Matteson,300;300i;400;400i;600;600i;700;700i;900;900i;,23.09,33.26,1.44,1.44,1.45,1.45,0.992835820895522,0.70,0.70,1.00,18,24,https://fonts.adobe.com/fonts/georgia-pro,1996,tbu8cty,,,,,,,,,15,15,15,,45,10,10,20,15,5,165,Wikipedia;Politico;Mashable
50,Gill Sans Nova,Gill Sans Nova,Sans,Humanist,Johnston,,Adobe,Eric Gill;George Ryan,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900,21.55,32.74,1.52,1.47,1.5,1.45,0.977313432835821,0.66,0.68,1.03,19,25,https://fonts.adobe.com/fonts/gill-sans-nova,1930,kvy4jpw,9,,22,,,92,,80,,15,15,,202,10,10,,15,7,302,John Lewis;Normann;Moooi
51,Granville,Granville,Sans,Humanist,Optima,,Adobe,Jean-Baptiste Levée,300;300i;400;400i;700;700i,21.6,31.68,1.47,1.52,1.45,1.5,0.945671641791045,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/granville,2015,uvz5qqa,,,24,,,,,78,,5,,,83,8,6,,,,131,
52,Hanken Grotesk,Hanken Grotesk,Sans,Grotesque,NeoGrotesque,,Google,Alfredo Marco Pradil;Hanken Design Co.,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,23.66,33.46,1.41,1.43,1.4,1.45,0.998805970149254,0.70,0.70,1.00,18,24,https://fonts.google.com/specimen/Hanken+Grotesk,2019,,,,,"857,951,790",7,,,,15,5,,,21.75,9,9,10,,9,112.75,
53,IBM Plex Mono,IBM Plex Mono,Mono,GrotesqueMono,Mono,IBM Plex,Google,Mike Abbink;Bold Monday,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,24.77,33.5,1.35,1.43,1.35,1.45,1,0.74,0.70,1.00,18,24,https://fonts.google.com/specimen/IBM+Plex+Mono,2017,,,,,"8,866,310,287",34,,,,,5,15,,28.5,8,2,,10,7,44.5,IBM;Variety
54,IBM Plex Sans,IBM Plex Sans,Sans,Grotesque,Franklin,IBM Plex,Google,Mike Abbink;Bold Monday,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,24.77,33.5,1.35,1.43,1.35,1.45,1,0.74,0.70,1.00,18,24,https://fonts.google.com/specimen/IBM+Plex+Sans,2017,,,27,,"31,814,652,471",54,,74,,15,5,15,,122.5,8,8,,5,7,186.5,IBM
55,IBM Plex Serif,IBM Plex Serif,Serif,Contemporary,Times,IBM Plex,Google,Mike Abbink;Bold Monday,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,24.77,33.5,1.35,1.43,1.35,1.45,1,0.74,0.70,1.00,18,24,https://fonts.google.com/specimen/IBM+Plex+Serif ,2017,,,,,"6,361,947,963",30,,,,,5,15,,27.5,8,6,10,5,7,85.5,IBM
56,Inconsolata,Inconsolata,Mono,GeometricMono,Mono,,Google,Raph Levien,200..900,21.94,29.95,1.37,1.6,1.35,1.6,0.894029850746269,0.74,0.62,1.13,20,27,https://fonts.google.com/specimen/Inconsolata,2009,,,38,,"30,787,357,684",53,,63,,15,5,15,,111.25,7,4,,,10,139.25,
