id,name,label,shortlabel,superclass,classification,subclass,family,distribution,designer,rg,xHeight,capHeight,xHeightRatio,capHeightRatio,xHeightRatioRounded,capHeightRatioRounded,adjust,xHeightPct,capHeightPct,0.70,18,24,link,Year,stylesheet,100 Greatest Fonts,Typewolf Google,Typewolf Adobe,Google Analytics,Google Analytics Score,100 Greatest Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,FontsInUse,Adjust,Score,Quality,Utility,Underrated Boost,In Use Boost,Weight Boost,Rating,inuse
102,Plus Jakarta Sans,Plus Jakarta Sans,Plus Jakarta Sans,Sans,Geometric,Neuzeit,,Google,Tokotype,200..800;200..800i,25.73,35.76,1.39,1.34,1.4,1.35,1.06746268656716,0.72,0.74,0.95,17,23,https://fonts.google.com/specimen/Plus+Jakarta+Sans,2020,,,,,"14,684,802,053",40,,15,15,15,5,,60,9,8,,,10,132,
103,Poppins,Poppins,Poppins,Sans,Geometric,Neuzeit,,Google,Indian Type Foundry;Jonny Pinhorn;Ninad Kale,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,26.3,33.46,1.27,1.43,1.25,1.45,0.998805970149254,0.78,0.70,1.00,18,24,https://fonts.google.com/specimen/Poppins,2014,,,19,,"434,516,045,337",71,,82,,,5,,104.75,6,6,,15,9,140.75,
104,Protipo,Protipo,Protipo,Sans,Geometric,DIN,,Adobe,José Scaglione;Veronika Burian,300;300i;400;400i;500;500i;600;600i;700;700i;800;800i,25.82,33.74,1.31,1.42,1.3,1.4,1.00716417910448,0.76,0.70,1.00,18,24,https://fonts.adobe.com/fonts/protipo,2018,ump0tbz,,,,,,,,,15,5,,20,8,6,,,6,68,
105,Proxima Nova,Proxima Nova,Proxima Nova,Sans,Geometric,Proxima,Proxima,Adobe,Mark Simonson,100;100i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,23.18,32.02,1.38,1.5,1.4,1.5,0.955820895522388,0.72,0.66,1.06,19,25,https://fonts.adobe.com/fonts/proxima-nova,2005,qfs0oru,,,12,,,,,90,15,15,,120,10,10,10,15,8,230,DuckDuckGo;Buzzfeed;FitBit;
107,Proza Libre,Proza Libre,Proza Libre,Sans,Humanist,Optima,,Google,Jasper de Waard,400;400i;500;500i;600;600i;700;700i;800;800i,24.84,34.34,1.38,1.4,1.4,1.4,1.02507462686567,0.72,0.72,0.97,18,23,https://fonts.google.com/specimen/Proza+Libre,2016,,,25,,"355,230,785",2,,15,,,5,,20.5,8,7,10,,5,86.5,
108,PT Mono,PT Mono,PT Mono,Mono,HumanistMono,Mono,PT,Google,ParaType,400;,24,33.6,1.4,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/PT+Mono,2010,,,,,"1,435,428,694",11,,,,,5,,7.75,8,4,,,1,39.75,
109,PT Sans,PT Sans,PT Sans,Sans,Humanist,Meta,PT,Google,ParaType,400;400i;700;700i,24,33.6,1.4,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/PT+Sans,2010,,,31,,"56,176,463,253",61,,70,,,5,,90.25,8,10,,10,2,170.25,Oxford University;Uffizi
110,PT Serif,PT Serif,PT Serif,Serif,Contemporary,MetaSerif,PT,Google,ParaType,400;400i;700;700i,24,33.6,1.4,1.43,1.4,1.45,1.00298507462687,0.72,0.70,1.00,18,24,https://fonts.google.com/specimen/PT+Serif,2010,,,32,,"28,770,423,531",52,,69,,15,5,,102,8,8,,5,2,166,Ada
111,Public Sans,Public Sans,Public Sans,Sans,Grotesque,Franklin,,Google,USWDS;Dan Williams;Pablo Impallari;Rodrigo Fuenzalida,100..900;100..900i,24.82,34.7,1.4,1.38,1.4,1.4,1.03582089552239,0.72,0.72,0.97,18,23,https://fonts.google.com/specimen/Public+Sans,2018,,,,,"10,263,411,936",36,,,,,5,15,29,10,10,15,15,10,144,National Museum Of American History;Sinebrychoff Art Museum;Evidation
112,Questa,Questa,Questa,Serif,Transitional,Times,Questa,Adobe,Jos Buivenga;Martin Majoor,300;300i;400;400i;500;500i;700;700i;900;900i,21.54,31.76,1.47,1.51,1.45,1.5,0.948059701492537,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/questa,2010,rfe1kqe,,,41,,,,,15,5,5,,25,9,8,,,,97,
113,Questa Grande,Questa Grande,Questa Grande,Serif,Modern,Bodoni,Questa,Adobe,Jos Buivenga;Martin Majoor,300;300i;400;400i;500;500i;700;700i;900;900i,21.54,31.76,1.47,1.51,1.45,1.5,0.948059701492537,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/questa-grande,2010,kue4zna,,,41,,,,,15,15,5,,35,9,4,,,,71,
114,Questa Sans,Questa Sans,Questa Sans,Sans,Grotesque,Blake,Questa,Adobe,Jos Buivenga;Martin Majoor,300;300i;400;400i;500;500i;700;700i;900;900i,21.54,31.76,1.47,1.51,1.45,1.5,0.948059701492537,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/questa-sans,2010,rwa8zuu,,,41,,,,,15,15,5,,35,9,10,,,,125,
